"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Bachelor of Sustainable Agriculture and Food",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Tourism Management",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Traditional Chinese Medicine",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Diploma in Arts (Extended)",Course,"Western Sydney University (WSU)","AUD 33,810.00","Bankstown Campus,Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Arts (Standard)",Course,"Western Sydney University (WSU)","AUD 26,570.00","Kingswood Campus,Parramatta City Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Diploma in Arts Extended Arts",Course,"Western Sydney University (WSU)","AUD 33,810.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Arts Extended Pathway to Teaching Birth-5/Birth-12",Course,"Western Sydney University (WSU)","AUD 33,810.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Arts Extended Pathway to Teaching Primary",Course,"Western Sydney University (WSU)","AUD 33,810.00","Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Arts Extended Pathway to Teaching Secondary",Course,"Western Sydney University (WSU)","AUD 33,810.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Building Design Management",Course,"Western Sydney University (WSU)","AUD 30,000.00","Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Building Design Management Extended",Course,"Western Sydney University (WSU)","AUD 46,310.00","Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Building Design Management/ Bachelor of Building Design Management",Course,"Western Sydney University (WSU)","AUD 34,733.04","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Diploma in Business Extended",Course,"Western Sydney University (WSU)","AUD 36,980.00","Bankstown Campus,Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication",Course,"Western Sydney University (WSU)","AUD 25,000.00","Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication Extended Communication",Course,"Western Sydney University (WSU)","AUD 43,320.00","Kingswood Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication Extended Creative Industries",Course,"Western Sydney University (WSU)","AUD 43,320.00","Kingswood Campus,Quakers Hill Campus,Bankstown Campus,Penrith Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication Extended Screen Media (Arts and Production)",Course,"Western Sydney University (WSU)","AUD 43,320.00","Kingswood Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication/ Bachelor of Communication",Course,"Western Sydney University (WSU)","AUD 30,324.00","Kingswood Campus,Sydney Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus,Sydney City Campus","Australian Education",0,0
"Diploma in Communication/ Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 30,324.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Quakers Hill Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communication/ Bachelor of Screen Media (Arts & Production)",Course,"Western Sydney University (WSU)","AUD 30,324.00","Kingswood Campus,Quakers Hill Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Communications (Extended)",Course,"Western Sydney University (WSU)","AUD 43,320.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Diploma in Construction Management/ Bachelor of Construction Technology",Course,"Western Sydney University (WSU)","AUD 34,733.04","Kingswood Campus,Quakers Hill Campus,Penrith Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Construction Technology Extended",Course,"Western Sydney University (WSU)","AUD 47,190.00","Quakers Hill Campus,Nirimba Campus","Australian Education",0,0
"Diploma in Criminal & Community Justice/ Bachelor of Criminal and Community Justice",Course,"Western Sydney University (WSU)","AUD 27,898.98","Kingswood Campus,Quakers Hill Campus,Bankstown Campus,Penrith Campus,Nirimba Campus","Australian Education",0,0
"Bachelor of Occupational Therapy",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Physiotherapy",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Physiotherapy (Honours)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Planning (Pathway to Master of Urban Management and Planning)",Course,"Western Sydney University (WSU)","AUD 26,240.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",1,0
"Bachelor of Podiatric Medicine",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Podiatric Medicine (Honours)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Policing",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Bankstown Campus,Liverpool Campus,Penrith Campus,Sydney Olympic Park","Australian Education",0,0
"Bachelor of Psychology",Course,"Western Sydney University (WSU)","AUD 113,920.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science",Course,"Western Sydney University (WSU)","AUD 87,120.00","Parramatta Campus,Campbelltown Campus,Richmond Campus,Parramatta South Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science  - Pathway to Teaching (Primary/Secondary)",Course,"Western Sydney University (WSU)","AUD 30,480.03","Richmond Campus,Parramatta Campus,Campbelltown Campus,Parramatta South Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science (Biological Sciences)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science (Chemistry)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science (Forensic Science)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science (Mathematical Science)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science (Nutrition & Food Science)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science (Zoology)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science (Zoology)/Bachelor of Natural Science (Animal Science)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Science/Bachelor of Arts",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Richmond Campus,Hawkesbury Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science/Bachelor of International Studies",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Science/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Screen Media (Arts and Production)",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Bankstown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Social Science",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Sydney Campus,Liverpool Campus,Penrith Campus,Parramatta South Campus,Sydney City Campus,Liverpool City Campus","Australian Education",0,0
"Bachelor of Social Science (Psychology)",Course,"Western Sydney University (WSU)","AUD 26,239.98","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Social Science/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Social Work",Course,"Western Sydney University (WSU)","AUD 26,240.00","Parramatta Campus,Liverpool Campus,Parramatta South Campus,Liverpool City Campus","Australian Education",1,0
"Bachelor of Information and Communications Technology/Bachelor of Arts",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information and Communications Technology/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 30,840.00","Bankstown Campus,Campbelltown Campus,Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information and Communications Technology/Bachelor of Business (Accounting)",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information and Communications Technology/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information Systems",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Sydney Campus,Parramatta South Campus,Sydney City Campus","Australian Education",1,1
"Bachelor of Information Systems Advanced",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information Systems Advanced/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information Systems Advanced/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information Systems/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Campbelltown Campus,Parramatta City Campus,Parramatta South Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Information Systems/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of International Studies",Course,"Western Sydney University (WSU)","AUD 26,239.98","Parramatta Campus,Bankstown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of International Studies/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 26,240.00","Parramatta Campus,Bankstown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of International Studies/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Parramatta South Campus,Campbelltown Campus","Australian Education",0,0
"Bachelor of International Studies/Bachelor of Social Science",Course,"Western Sydney University (WSU)","AUD 26,240.00","Bankstown Campus,Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Laws (Graduate entry)",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Laws (non-Graduate entry)",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Medical Research",Course,"Western Sydney University (WSU)","AUD 29,880.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Medical Science",Course,"Western Sydney University (WSU)","AUD 26,760.00","Campbelltown Campus,Richmond Campus,Parramatta Campus,Parramatta South Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Medical Science (Forensic Mortuary Practice)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Campbelltown Campus,Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Music",Course,"Western Sydney University (WSU)","AUD 28,080.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Music/Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 28,080.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Natural Science (Environmental Management)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Nursing",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Richmond Campus,Liverpool Campus,Parramatta South Campus,Hawkesbury Campus,Liverpool City Campus","Australian Education",6,1
"Bachelor of Nursing (Advanced)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Liverpool Campus,Parramatta Campus,Campbelltown Campus,Parramatta South Campus,Hawkesbury Campus,Liverpool City Campus","Australian Education",0,0
"Bachelor of Nursing (Graduate Entry)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Richmond Campus,Liverpool Campus,Parramatta South Campus,Hawkesbury Campus,Liverpool City Campus","Australian Education",0,0
"Bachelor of Criminal and Community Justice",Course,"Western Sydney University (WSU)","AUD 26,239.98","Liverpool Campus,Liverpool City Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Criminal and Community Justice/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Criminal and Community justice/Bachelor of Social Work",Course,"Western Sydney University (WSU)","AUD 26,240.00","Liverpool Campus,Liverpool City Campus","Australian Education",0,0
"Bachelor of Criminology",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Liverpool Campus,Penrith Campus,Liverpool City Campus","Australian Education",0,0
"Bachelor of Criminology/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Cyber Security and Behaviour",Course,"Western Sydney University (WSU)","AUD 26,239.98","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Data Science",Course,"Western Sydney University (WSU)","AUD 30,840.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Design and Technology",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Penrith Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Design/Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Engineering",Course,"Western Sydney University (WSU)","AUD 90,000.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Engineering (Honours)",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Parramatta Campus,Parramatta City Campus,Sydney Campus,Penrith Campus,Parramatta South Campus,Parramatta City Campus Precinct,Sydney City Campus","Australian Education",1,1
"Bachelor of Engineering (Honours)/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Campbelltown Campus,Sydney Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus,Sydney City Campus","Australian Education",0,0
"Bachelor of Engineering Advanced (Honours)",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Engineering Science",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Parramatta Campus,Sydney Campus,Penrith Campus,Parramatta South Campus,Sydney City Campus","Australian Education",0,0
"Bachelor of Entrepreneurship",Course,"Western Sydney University (WSU)","AUD 30,840.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Entrepreneurship (Games Design and Simulation)",Course,"Western Sydney University (WSU)","AUD 30,840.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Graphic Design (Pathway to Teaching Secondary)",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Health Science",Course,"Western Sydney University (WSU)","AUD 26,760.00","Campbelltown Campus,Sydney Campus,Sydney City Campus","Australian Education",2,0
"Bachelor of Health Science (Health and Physical Education)",Course,"Western Sydney University (WSU)","AUD 26,760.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Health Science (Health and Physical Education)-Pathway to Teaching (Secondary)",Course,"Western Sydney University (WSU)","AUD 26,760.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Health Science (Paramedicine)",Course,"Western Sydney University (WSU)","AUD 32,359.98","Campbelltown Campus","Australian Education",0,0
"Bachelor of Health Science (Sport and Exercise Science)",Course,"Western Sydney University (WSU)","AUD 28,680.00","Campbelltown Campus","Australian Education",0,0
"Bachelor of Humanitarian and Development Studies",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Industrial Design",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Penrith Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Information and Communications Technology",Course,"Western Sydney University (WSU)","AUD 30,840.00","Kingswood Campus,Campbelltown Campus,Parramatta Campus,Sydney Campus,Penrith Campus,Parramatta South Campus,Sydney City Campus","Australian Education",3,2
"Bachelor of Information and Communications Technology (Advanced)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Kingswood Campus,Parramatta Campus,Campbelltown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Information and Communications Technology (Health Information Management)",Course,"Western Sydney University (WSU)","AUD 30,840.00","Kingswood Campus,Parramatta Campus,Campbelltown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Pathway to Teaching Birth-5/Birth-12)",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Pathway to Teaching Primary)",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Pathway to Teaching Primary) Dean's Scholars",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Pathway to Teaching Secondary)",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Pathway to Teaching Secondary) Dean's Scholars",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 28,080.00","Bankstown Campus,Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts/Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 28,080.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts/Bachelor of Social Science",Course,"Western Sydney University (WSU)","AUD 26,240.00","Kingswood Campus,Bankstown Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Building Design Management",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 28,080.00","Sydney Campus,Parramatta Campus,Bankstown Campus,Campbelltown Campus,Parramatta City Campus,Parramatta South Campus,Parramatta City Campus Precinct,Sydney City Campus","Australian Education",1,1
"Bachelor of Business (Advanced Business Leadership)",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Business (Advanced Business Leadership)/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Business (Pathway to Teaching Secondary)",Course,"Western Sydney University (WSU)","AUD 28,080.00","Bankstown Campus,Campbelltown Campus,Parramatta City Campus,Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Business / Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Business and Commerce/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Communication",Course,"Western Sydney University (WSU)","AUD 28,080.00","Kingswood Campus,Parramatta Campus,Bankstown Campus,Sydney Campus,Penrith Campus,Parramatta South Campus,Sydney City Campus","Australian Education",0,0
"Bachelor of Communication/Bachelor of Business",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Communication/Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Communication/Bachelor of International Studies",Course,"Western Sydney University (WSU)","AUD 28,080.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Computer Science",Course,"Western Sydney University (WSU)","AUD 30,840.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Computer Science (Advanced)",Course,"Western Sydney University (WSU)","AUD 30,480.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Construction Management (Honours)",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Construction Management Studies/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Campbelltown Campus,Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Construction Technology",Course,"Western Sydney University (WSU)","AUD 33,000.00","Kingswood Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Creative Industries",Course,"Western Sydney University (WSU)","AUD 28,080.00","Kingswood Campus,Parramatta Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Accounting",Course,"Western Sydney University (WSU)","AUD 28,080.00","Bankstown Campus,Campbelltown Campus,Parramatta City Campus,Sydney Campus,Parramatta Campus,Parramatta South Campus,Parramatta City Campus Precinct,Sydney City Campus","Australian Education",6,3
"Bachelor of Accounting/Bachelor of Laws",Course,"Western Sydney University (WSU)","AUD 29,880.00","Parramatta Campus,Campbelltown Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Advanced Medical Science",Course,"Western Sydney University (WSU)","AUD 30,480.00","Richmond Campus,Parramatta Campus,Campbelltown Campus,Parramatta South Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Advanced Science",Course,"Western Sydney University (WSU)","AUD 30,480.00","Parramatta Campus,Campbelltown Campus,Richmond Campus,Parramatta South Campus,Hawkesbury Campus","Australian Education",0,0
"Bachelor of Anthropology",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Bankstown Campus,Liverpool Campus,Penrith Campus","Australian Education",0,0
"Bachelor of Architectural Design",Course,"Western Sydney University (WSU)","AUD 33,000.00","Parramatta Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Parramatta Campus,Bankstown Campus,Parramatta City Campus,Sydney Campus,Penrith Campus,Parramatta South Campus,Parramatta City Campus Precinct,Sydney City Campus","Australian Education",0,0
"Bachelor of Arts (Dean's Scholars)",Course,"Western Sydney University (WSU)","AUD 26,239.98","Kingswood Campus,Bankstown Campus,Penrith Campus,Parramatta South Campus","Australian Education",0,0
"Bachelor of Arts (Interpreting and Translation)",Course,"Western Sydney University (WSU)","AUD 80,280.00","Parramatta City Campus,Parramatta City Campus Precinct","Australian Education",0,0
"CERTIFICATE III IN PATHOLOGY COLLECTION",Course,"Australian Centre of Further Education (ACFE)","AUD 6,999.00","Melbourne Campus,Sydney Campus","Accomodation Service,Australian Education,Insurance Service,VISA Service",0,0
"Diploma of Hospitality Management ","VET Course","Australian Education Counsel","AUD 0.00","Head Office","RPL Assessment ",1,0
"Cert III in Retail Baking","Short Course","Australian Education Counsel","AUD 0.00","Head Office","RPL Assessment ",1,0
"Bachelor of Psychological Science - Bachelor of Neuroscience",Course,"University of Wollongong (UOW)","AUD 146,016.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Psychological Science - Bachelor of Social Science",Course,"University of Wollongong (UOW)","AUD 129,792.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Psychology (Honours)",Course,"University of Wollongong (UOW)","AUD 93,744.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Public Health",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Science - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 128,448.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Science (Honours) (Dean's Scholar)",Course,"University of Wollongong (UOW)","AUD 150,144.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Science Advanced (Honours)",Course,"University of Wollongong (UOW)","AUD 110,592.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Science Education",Course,"University of Wollongong (UOW)","AUD 79,776.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Social Science",Course,"University of Wollongong (UOW)","AUD 79,776.00","Wollongong Campus,Nowra Distribution Centre Campus,Batemans Bay Campus,UOW Sutherland","Australian Education",0,0
"Bachelor of Social Work",Course,"University of Wollongong (UOW)","AUD 106,368.00","Wollongong Campus,Nowra Distribution Centre Campus","Australian Education",0,0
"Bachelor of Social Work (Honours)",Course,"University of Wollongong (UOW)","AUD 106,368.00","Wollongong Campus,Nowra Distribution Centre Campus","Australian Education",0,0
"Bachelor of Sustainable Communities",Course,"University of Wollongong (UOW)","AUD 28,224.00","Wollongong Campus","Australian Education",0,0
"Diploma in Languages",Course,"University of Wollongong (UOW)","AUD 68,736.00","Wollongong Campus","Australian Education",0,0
"Master of Computer Science",Course,"University of Wollongong (UOW)","AUD 59,424.00","Liverpool Campus","Australian Education",0,0
"Master of Nursing International",Course,"University of Wollongong (UOW)","AUD 62,400.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
